Artista;Cancion;Lyrics;Etiqueta;Expresion
alejandrosanz;Donde Convergemos;"  
  
Ya iba teniendo ganas mira de conocerte,  
yo ya no tengo fuerzas, pa rescatar mi suerte,  
tengo algún sueño roto y tengo un plan pa tenerte,  
¿lo quieres ver?, Más allá,Yo  
  
Ya tengo yo el conocimiento exacto  
ya no te pido nada de lo que tú   
no me puedas hacer cargo  
ahora sólo hace falta que tú me digas   
que quieres ser parte de mí, parte de mí  
  
Ya no pretendo hacerte el cuento más largo  
ahora ya no tengo más excusas,  
prefiero mojarme y arreglarme  
sigo teniendo la intención de quererte   
hasta que se apague mi sol  
eso es lo único que no ha cambiado.  
Puedes gritar, he buscao detrás de tus entimientos  
y no te encuentro,  
amor puedes callar.  
  
Porque tú tienes el poder,  
Tú tienes en tus manos la fuerza del ser  
Tú puedes hacer todo lo que quieras  
Tú puedes llegar a donde sueñas  
  
Yo sé que tú puedes, puedes  
No lo dejes para después,  
tampoco lo vayas a hacer antes de tiempo,  
todas las cosas tienen su momento, búscalo  
ese momento exacto, ese punto,  
donde convergen los sueños,  
donde converge lo nuestro,  
donde convergemos.  
Ese punto donde convergen los sueños,  
donde converge lo nuestro,  
donde convergemos  
mira  
  
Vuela alto, vuela alto  
elévate a los cielos y luego nos cuentas algo  
vuela alto, vuela alto  
no dejes que el tiempo te deje atrás.  
";0;
carlosvives;La Vieja Sara;"  
  
Tengo que hacerle a la vieja Sara  
una visita que le ofrecí   
pa' que no diga de mí  
que yo la tengo olvidada  
  
también le traigo su regalito  
un corte blanco con su collar  
pa' que haga traje bonito  
y flequeté por el plan  
  
Para que diga que este regalo  
Se lo hizo el compadre de su hijo Emiliano  
  
Y amigo de ella también que se llama Rafael  
  
Arriba e' Manaure en la Serranía   
hay un pueblecito bonito y sano  
vive la mamá de Emiliano,   
de Toño, Sara y María   
  
Se oye una voz en la noche  
  
se oye una voz que la llama  
ese soy yo y poncho Cote  
llamando a la vieja Sara  
  
Para que sepa la Vieja Sara  
que yo solo vine fue a saludarla  
  
Pa' ve si me va a repetir   
todo lo que ha dicho de mí  
  
La vieja Sara se está pensando   
que dentro e' mi pecho, cabe el olvido  
deja que pasen los años   
que yo sigo siendo el mismo  
  
Un poco viejo me estoy poniendo  
será por los años que van pasando  
  
pero yo la quiero y la estimo   
porque sigo siendo el mismo  
";0;
aventura;Un Poeta Enamorado;"  
  
Un poeta enamorado  
Let me find out  
Bachata muy fina, muy fina  
Un poeta aficiao'  
Playboy! Romance, romance mami  
  
Oye princesa dame sólo unos minutos pa' implorarte lo que siento  
mi delirio en la poesia es por tu causa y te llevo en mi pensamiento  
no sé por qué de esta forma yo me siento creo que me estoy enamorando  
hoy mas que nunca porque escribo mil poemas pero en ti estoy pensando  
si remediar este problema es dar mi amor te pido que salves mi alma  
eres como una isla bonita donde busco un refugio, eres la calma  
seré la suela del zapato que tu uses y la luz que a ti te alumbre  
si tienes carro, yo sere tu carretera y del peligro quien te ayude  
  
No mi amor, no vua' a perderte no me importa quien se oponga  
si no me crees, pregunta al mundo si es verdad que yo te quiero  
y te dirán que no te miento, no esta loco es un poeta enamorado  
  
De varias hembras tu has sido la elegida y te canto una poesía  
eres el aire que respiro, en la galaxia, un planeta que me guía  
tu eres la estrella que me brilla por la noche, me iluminas desde lejos  
y yo el poeta que se enfusca en tu belleza, quien te escribe estos versos  
  
";0;
badbunny;Ignorantes;"  
  
Bebé  
Bebé este es Sech  
Bad Bunny, baby  
  
Quizá fui muy ignorante  
Hay cosas que no sabemos  
Quizá no puse de mi parte (No)  
Pero tú pusiste menos  
La soledad no me asusta  
Pero dormir solo no me gusta  
  
Y no sé por qué no' dejamo'  
Si tú me amas y yo te amo  
Normal, yo sé que a veces peleamo'  
Pero qué rico cuando chingamo'  
  
Ice  
Mami, si quiere' no' quedamo' como panas  
Entre tu' mala' decisione' yo no fui una mala  
Vuelve si a la felicidad le tiene' gana'  
Ello' son el cabello negro y yo soy la cana  
Es que tú no cambia'  
Te quita' el pantie y te pone' mi sweater Champion  
Siempre que está' borracha tú me llamas  
Y pasa' la' notas en mi cama  
  
No (Baby)  
No debí acostarme contigo, pero no  
Si te atraparon moléstate, pero no  
No digas que no te gusto  
  
Baby, te extraño to' lo' día'  
Nunca supe que te perdía  
Yo la enrolaba, tú lo prendía'  
Y el otro despué' que te venía'  
Ahora la cama se me hace gigante  
Nadie me da besito' pa' que me levante  
Espero que el perrito los jevos te espante  
Eh, eh, eh  
  
No sé si fue la distancia  
O tal vez culpa de mi ignorancia  
No sé si fue por mi inmadurez  
Que mi nena no quiere volver, eh  
Quizá necesitaba' espacio, eh  
O ir más despacio, eh  
Hoy prendí pa' fumar  
Me puse a recordar y pensar  
  
";0;
carlosvives;Miguel Canales;"  
  
Cuando viene de la Paz algún amigo   
le pregunto si ha visto a Miguel Canales  
  
Dicen que en la montaña está perdido   
que tiene mucho tiempo que no sale   
  
De su vida, de su vida, no se sabe   
porque Migue, en la montaña está perdido  
  
Dicen que tiene barba como un padre   
dicen que tiene el pelo como un indio  
  
Ay! que le estará pasando al pobre Migue   
que tiene mucho tiempo que no sale  
  
Apuesto a que si sabe que yo vine   
de la motaña sale el pobre Migue   
decíle que lo espero aquí en la Paz   
que si no viene aquí yo voy allá.  
  
Cuando sigo, cuando sigo preguntando   
me dicen que no tiene cuando venir  
  
Porque se ha convertido en ermitaño   
de la montaña no quiere salir  
  
Me le dicen, me le dicen a Miguel   
que se deje, que se deje ver la cara   
  
Qué si no viene aquí, yo voy por él   
antes que se lo trague la montaña.   
";0;
alejandrosanz;Este Pobre Mortal;"  
  
Aun no puedo creerlo  
que haces aquí, no te esperaba  
pero por favor no te quedes en la puerta pasa  
da una vuelta que te mire, no has cambiado estas igual  
a pesar de que va a ser un día que te fuiste.  
  
Dime donde has estado, para haberte acordado  
De que existe este pobre mortal, que no para de pensar,  
que sin ti mi vida nada será igual  
  
Que mal llevo tu ausencia,   
me cuesta tanto reconocer mi torpeza  
y admitir al fin que es una pirueta del destino tu presencia  
y me hace tan feliz que de nuevo estás aquí  
sácame de mi desastre dime que te quedas  
ya lo sé no digas nada con mirarte me doy cuenta   
que has venido a llevarte tu maleta.  
  
Por un momento había pensado, que te habías acordado  
De que existe este pobre mortal, que no para de pensar,  
que sin ti mi vida nada será igual  
";0;
antonioaguilar;Paso Del Norte;"  
  
Que triste se encuentra el hombre cuando anda ausente  
Cuando anda ausente muy lejos de su patria  
Mayormente si se acuerda de sus padres y su chata  
Ay que destino, para ponerse a llorar  
  
Paso del Norte, que lejos te vas quedando  
Tus divisiones de mi se estan alejando  
Los pobres de mis hermanos de mi se estan acordando  
Ay crúel destino, para ponerse a llorar  
  
Uuuyjaja, Adios mi Mexico, Adios mi Mexico  
";0;
anagabriel;Quiero Yo Saber;"  
  
Dime donde estas   
quiero yo saber que pasa   
tu quisiste volar sin presión   
libre de pensar   
de querer seguir soñando   
donde estes yo te seguire   
que yo te quiero amar   
  
Quiero yo saber   
quiero yo saber   
necesito ver si solas tu,   
te alegra las noches   
  
Quiero yo saber,   
quiero yo saber   
mas si no te tengo aqui voy a ti   
mm voy hasta ti mm, oh, oh, oh,   
  
Yo no se, yo no se   
si tu sufres   
yo no soy tu, si no llamas, yo te busco   
  
ay! no no vienes o yo voy   
  
si piensas no volver   
yo voy tras de ti   
  
ay no, no, vienes o yo voy   
  
Sueño yo alcanzarte   
la ocasion buscare   
  
Vienes o vienes ya   
ya te encontrare   
vienes o vienes ya   
cuanto placer tendre   
vienes o vienes ya   
yo solo voy sintiendo   
que si lo lograre   
oh, no, no, no, no   
  
";0;
sodastereo;Mundo De Quimeras;"  
  
Prendan hogueras  
hogueras negras sin temor  
prendan hogueras  
al cabo todo irá mejor  
  
Ojos en llamas  
arde mi cama, arde nirvana  
y quema  
La tina llena  
corto mis venas, corto mis venas  
y sangra  
  
Calma su lema  
la poción que envenena  
poción que envenena  
esperá  
Pinta tu aldea  
mundo de quimeras, mundo de quimeras  
y arenas  
  
La gente no cree  
que un cuerpo inflamable, un cuerpo inflamable  
es presa fácil  
Préndanme fuego  
mi carne quemada, mi carne quemada  
es menos frágil  
  
Por más agujas que me claven  
es evidente  
si la suerte ha sido echada  
voy a rociarme e incinerarme  
  
Prendan hogueras  
hogueras negras sin temor  
prendan hogueras  
quimeras sin superstición  
  
Prendan hogueras(calma su lema)  
mundo de quimeras  
prendan hogueras (pinta tu aldea)  
mundo de quimeras  
prendan hogueras!  
";0;
juangabriel;Huerfano Soy;"  
  
Solo voy por el mundo  
Solo como un vagabuendo  
  
Huerfano soy  
Ya no tengo a nadie  
Han muerto mis padres  
Solo quede.  
  
Nací entre amargura y llanto  
Y mi dolor es tanto  
Que me a compaña por donde voy  
  
Huerfano soy no tengo hogar  
No tengo ya ni un calor  
Y si al llorar me acuerdo mas  
De la que la luz me dio  
Huerfano soy.  
";0;
camila;Lgrimas;"  
  
Lágrimas  
Y vacío  
Han pintado  
Mi destino  
Puedo oír  
Cada espacio  
Sabe a exilio  
Y a cansancio  
  
Deje mi país  
Mis pasos y mi gente  
Solamente  
Quise seguirte y amarte  
Y muy tarde entendí  
Que para conocerte  
Faltan vidas  
Sobran muerte  
  
Falta luz  
Y el olvido  
No me aleja de los míos  
Por mi fe  
Sigo vivo  
Porque México  
Va conmigo  
";0;
alejandrosanz;El Alma Al Aire;"  
  
Yo quiero el aire que tiene tu alma  
Yo quiero el aire que, que vive en ti  
Yo quiero el aire, aire que derramas  
Aire pa' quererte y aire pa' vivir  
  
Tengo un alma o la tenía  
Y no es bastante  
Ya sabes, tanto tienes tanto vales  
Tengo un alma y desafía  
Tus andares   
Es el paisaje donde flota mi fantasía  
  
Y me subo a tu cintura pero es tan temprano  
Los sueños que se cumplen son tan raros  
El aire roza las palabras que no saben bien  
De tus ojos, tu mirar  
Por tus andares y tu mirar  
  
Le he robado el alma al aire  
Para dártela en este suspiro  
Soy como la tierra, amor  
Tú eres el sol  
Que no se deja ver  
No puede ser  
Cómo va a ser  
  
Le he robado el alma al aire  
Para poder llevarte aquí conmigo  
Soy como la tierra, amor  
Tú eres el sol  
Que no se deja ver  
No puede ser  
Cómo va a ser  
  
Tengo miedo a un alma fría  
¿Cuánto vale?  
Comprarle el alma al aire si se descuida  
Suave, suave se la quitas  
Tus andares  
Ay niña ay ay vete, tus andares  
  
Porque no tiene cura la locura de mis labios  
Ya nada en esta vida me parece raro  
El alma roza despacito el mundo en nuestra piel  
De mi vida caminar  
Y de tu vida niña, lo que no se ve  
  
Y me subo a tu cintura   
Pero es tan temprano  
De tus ojos, tu mirar  
Tus andares, niña, y tu libertad  
  
Le he robado el alma al aire  
Para dártela en este suspiro  
Soy como la tierra, amor  
(Soy como la tierra, amor)  
Tú eres el sol  
El alma al aire tú  
";0;
monlaferte;La Mujer;"  
  
Yo soy esa mujer  
La que cuelga de la soga  
Soy la mujer, como tequila y la droga  
Yo soy esa mujer  
Yo soy tu sobredosis  
Soy la mujer  
De la que nada conoces  
  
Yo soy la que te amó, la que te perdonó  
Antes de conocerte no sabía de dolor  
  
¡Ay! Qué pena me da saberte  
Ahora estás solo y probablemente  
Deba dudar y así acabarás  
¡Ay! Ayer por fin dejé de suicidarme  
Ahora tus manos son las que derraman sangre  
Me enamoré de un pobre cobarde  
  
Tú eres el hombre  
Que lo controla todo  
Según tú, todo se hace a tu modo  
Tú eres el hombre  
El que arma y desarma  
No puedes ni contigo  
Ni con tu ego, ni con nada  
  
";1;"Yo soy esa mujer
La que cuelga de la soga
Soy la mujer, como tequila y la droga
Yo soy esa mujer
Yo soy tu sobredosis
Soy la mujer
De la que nada conoces

¡Ay! Ayer por fin dejé de suicidarme
Ahora tus manos son las que derraman sangre
Me enamoré de un pobre cobarde

Tú eres el hombre
Que lo controla todo
Según tú, todo se hace a tu modo
Tú eres el hombre
El que arma y desarma
No puedes ni contigo
Ni con tu ego, ni con nada

"
alejandrosanz;El Club De La Verdad;"  
  
No espero amor  
No esperes que yo no esperé,  
Espera la pared,  
No vuelvas por volver.  
Sin nada que ofrecer  
Quien se va a atrever  
No te hablo de valor  
Te hablo de vencer.  
  
Pensé que el mar se iba a callar,  
Pensé que una tormenta me reclama,  
Que me odia el mar, que no se amar.  
  
Es que alguien no vio la luz  
A mi no me culpéis,  
Yo aguanto mi propia cruz  
Pero puedo llevar seis.  
  
El club de la verdad  
Va a cerrar,  
Nunca alcanzó a llegar  
Hasta tu boca,  
¿de que vas a hablar ahora?  
  
Se apaga tu mirar,  
Se va detrás de mi ansiedad  
Pero se va y se duerme la amapola  
Y se apaga la farola.  
  
No espero a dios  
Espero que me espere él  
Es esta extraña fe  
No creo por creer.  
Sin fuegos que encender  
Quien se va a atrever  
No te hablo de valor,  
No pierdo por perder.  
  
Pensé que el mar se iba a callar  
Pensé que una tormenta me reclama,  
Que me odia el mar, que no se amar.  
";0;
carlosvives;No Vuelvas A Ver Hacia Atrs;"  
  
Si te quieres ir, anda y vete ya  
Apaga por favor tu luz  
No mires hacia atrás  
Mas no cierres con llave, tal vez olvidas algo  
Olvidas tu maleta y tu rencor  
  
Pero antes de partir, acércate hacia mí  
Y observa en mi mirar el brillo inmenso del dolor  
Que ciega hasta la muerte  
Ven sécame la frente y alcánzame el pañuelo, por favor  
  
No, no vuelvas a ver hacia atrás  
No mires mi alcoba jamás  
Ten cuidado al caminar pues puedes tropezar  
Te puedes hacer mal  
No vuelvas a ver hacia atrás  
  
No, no pidas que entienda tu dolor  
Levántate pronto y vete ya  
No hagas esperar al otro que jamás has hecho suspirar  
No vuelvas a ver hacia atrás  
  
Colócate el collar, el que te regalé  
Aquel que tiene inscrito un: te quiero mi amor.  
  
Colócate tu abrigo, debe haber mucho viento  
Y deja el frío eterno de tu adiós  
No digas nunca adiós, no vayas a gritar  
Ni siquiera al vecino que tus juegos me contó  
Apura tu camino  
Recoge tu equipaje y arroja tu retrato en el baúl  
";0;
carlosvives;Matilde Lina;"  
  
Un mediodía que estuve pensando  
en la mujer que me hacía soñar  
las aguas claras del Río Tocaimo  
me dieron fuerza para cantar  
  
Llegó de pronto a mi pensamiento  
esa bella melodía  
y como nada tenía  
la aproveche en el momento  
  
Este paseo es de Leandro Díaz  
pero parece de Emilianito  
tiene los versos muy chiquiticos  
y bajiticos de melodía  
  
Tiene una nota muy recogida  
que no parece hecho mío  
y era que estaba en el río  
pensando en Matilde Lina  
  
Este sentimiento se hizo más grande  
que palpitaba mi corazón  
el bello canto de los turpiales  
me acompañaba esta canción  
canción del alma, canción querida  
que para mí fue sublime  
  
Al recordarte Matilde  
sentí temor por mi vida  
  
Si ven que un hombre llega a la Jagua  
coge camino y se va pa'l Plan  
esté pendiente que en la sabana  
vive una hembra muy popular  
es elegante todos la admiran  
y en su tierra tiene fama  
  
Cuando Matilde camina  
hasta sonríe la sabana  
";0;
aventura;Los Reyes De La Bachata Moderna;"  
  
Ladies and gentelmen  
the Kings of Bachata...Aventura  
  
Wow gracias...mil gracias por  
sus aplausos  
Oh mex this is beautiful...  
Es un placer estar con Ustedes  
y que Ustedes sean parte de  
esta jornada musical,de esta  
experiencia inolvidable etsà  
seguro que la vayan pasar  
favoloso.  
El es Lenny  
El Mikey  
Henry  
y yo soy Anthony caliosamente  
Romeo somos indiscutiblemente  
Los Reyes De La Bachata Moderna  
Kings of Bachata...  
Aventura  
";0;
alejandrofernandez;Me Dueles;"  
  
Me dueles en recuerdo  
me dueles en olvido  
me dueles si te pierdo  
estando en otro nido  
me dueles en la ausencia  
que a mi alma martiriza  
tenerte fue indulgencia  
pero paso de prisa  
  
me dueles tanto tanto  
que el llanto se acabo  
me dueles  
tu me dueles  
aunque diga que no  
  
me dueles cuando canto  
me dueles cuando rio  
me dueles y me espanto  
sin ti hace tanto, tanto frio  
me dueles en la urgencia  
de olvidarte y no puedo  
me duele que me duelas  
y que te importe un bledo  
  
me dueles  
tu me dueles  
tu, tu me dueles  
";0;
carlosvives;El Mejoral;"  
  
Yo pense que un mejoral   
iba curarme este gran dolor   
pero que me va a curar   
si es una pena de amor  
  
Yo me fui pa' Venezuela   
decepcionado de Valledupar   
como si la ausencia fuera   
remedio para olvidar   
  
Hombe! Yo hice un bien   
pero me fue muy mal   
pero me fue peor   
y, ahora no hago bien, ni mal   
pa' ve si me va mejor  
  
A pesar de que te quiero   
estoy convencido   
de mi mala suerte   
Yo sé que un amor sincero   
me puede causar la muerte  
  
En asuntos de mujeres   
tengo una ley muy bien aprendida   
yo, quiero a la quiere   
y, olvido a la que me olvida  
";0;
antonioaguilar;El Hijo Desobediente;"  
  
Un domingo estando errando  
Se encontraron dos mancebos  
Echando mano a sus fierros  
Como queriendo pelear  
  
Cuando se estaban peleando  
Pues llego su padre de uno  
  
Hijo de mi corazon  
Ya no pelies con ninguno  
  
Quitese de aqui mi padre  
Que estoy mas bravo  
Que un leon no valla  
A sacar la espada  
Y le atraviese el corazon  
  
Hijo de mi corazon  
Por lo que acabas  
De hablar antes  
De que salga el sol  
La vida le han de quitar  
  
Lo que le encargo a mi padre  
Que no me entierre en sagrado  
Que me entierre en tierra bruta  
En donde me trille el ganado  
Con una mano de fuera  
Y un papel sobre dorado  
Con un letrero que diga  
Felipe fue desgraciado  
  
Bajaron al toro prieto  
Que nunca lo habian bajado  
Pero ahora si ya bajo  
Revuelto con el ganado  
  
De tres caballos que tengo  
Ahi se los dejo a los pobres  
Para que si quiera digan  
Felipe dios te perdone  
";0;
antonioaguilar;La Eche En Un Carrito;"  
  
Compadre  
Acómpañeme a esta cancioncita por vida suya  
Dedicada a la vieja del carrito  
  
Vengo a decirle a la que no me supo amar  
Que ya no la quiero  
Ya la voy a abandonar  
  
La eché en un carrito  
Que la fueran a pasear  
Lejos, muy lejos  
Donde no fuera a estorbar  
  
Pero el orgullo es que yo no le he de rogar  
Yo ya no la quiero  
Ya la voy abandonar  
  
Al cabo es mi gusto  
Vete, vieja, vete, chirriona  
  
Y le hice un violín  
Un arpa y una guitarra  
Pa' que se fuera  
Su derrota lamentada  
  
Ya se le subió, compadre  
  
Uy, compadre  
Esta condenada que ya se traía el carretón de mulas  
Se equivocó porque me dicen el vena'o  
Y sé correr  
  
Esos amores que nunca han sido sinceros  
Sufren la desdicha  
De la triste soledad  
  
Le di un pasaporte  
Pa' que se fuera a pasear  
Allá por el norte  
Por allá se ha de quedar  
  
No sea güey, no se equivoque, compadre  
A ver  
Vénganse pa' acá  
No le haga al güey, no le haga al güey  
  
Ojalá que encuentres a quien te sepa amar  
Pa' que ya no vuelvas  
Esta canción se llama el reborujo  
Otra vez a molestar  
";1;"La eché en un carrito
Que la fueran a pasear
Lejos, muy lejos
Donde no fuera a estorbar

Al cabo es mi gusto
Vete, vieja, vete, chirriona

Esta condenada que ya se traía el carretón de mulas

"
antonioaguilar;Las Mananitas Mexicanas;"  
  
Al llegar esta fecha esperada  
Te venimos a felicitar  
Porque tu eres la prenda adorada  
A quien quiero formarle un artal  
Te deseamos que dures mil años  
Con todas nuestras sinceridad  
Que te olvides de los desengaños  
Que sean llenos de felicidad  
  
En este dia de tu santos quiero que tu me permitas que te dedique mi canto  
Que seran tus mañanitas muchas pero muchas felicidades  
  
Yo quisiera ser angel del cielo  
Y a tus puertas venirte a cantar y  
En tus santos cumplirte tu anelo  
Y ofrecerte una dicha sin pa  
Ya la luna se esta despidiendo  
Pero el sol ya empezo a despuntar  
No queremos que sigas durmiendo  
Nuestro canto te ara despertar  
  
Hoy te haremos compañia perdona nuestras necedades  
Para desearte en tu dia una y mil felicidades  
Muchas felicidades muchas pero muchas  
  
Los guilgueros te brindad sus tribus  
Y su ofrenda te vienen a dar  
Es por eso que alegres venimos  
Te venimos a felicitar  
Ya despierta mi bella despierta  
Y ya deja de tanto soñar  
Aqui estamos al pie de tu puerta  
Ya despierta te quiero abrazar  
";0;
alejandrofernandez;Sueo Contigo;"  
  
Se que la vida pone pruebas en derrotas   
y en el alma una respuesta sin pregunta.   
Tengo gans de pensar que si    
algún dia no estas te buscaré.   
Yo se, que tu ser y el mio    
tiene pactos con la luna   
que en el corazón tu fé   
salvando mi locura.  
  
Tengo ganas de esconderme entre tu piel   
volver a ser el mismo de antes en tu boca.   
Tropezar en la misma piedra si me toca,   
repetir el mismo cuento en tu mirada,   
y poder seguir el ritmo a tu respiración.  
  
Sueño contigo, no me conformo    
con perder otra mañana   
andando a solas preguntando una vez por mes   
que si me quieres o si me extrañas.  
  
Sueño contigo,   
no me conformo con seguir siendo tu amigo,   
andar a solas preguntandole a mi soledad,   
que si te espero o si te tengo que olvidar.  
  
Sé que tu vida tiene espacio entre mis ojos   
y la sombra de tu cuerpo me refresca.   
Tengo el tiempo necesario   
para florecer en un rincón de tu memoria.   
Escribir en un abrazo nuestra historia,   
repetir el mismo cuento en tu mirada   
y poder seguirle el ritmo a tu respiración.  
";0;
sodastereo;Angel Electrico;"  
  
Ahí va la tempestad  
ya parece un paisaje habitual  
Un árbol color sodio  
Y la caída de un ángel eléctrico  
  
Tengo estática y no querría lastimarte de nuevo  
volví sólo y cargado  
por la caída de otro ángel eléctrico  
  
Enredado en cables  
estoy al filo de la resignación  
Debe ser el hábito  
de esperar que algo quiebre el unísono  
  
Un nuevo acorde  
te hace mirarme a los ojos  
Aún tengo al sol para besar tu sombra  
Hoy caí, al dejarte sola  
ya pagué, por quebrar la calma  
";0;
jalvarez;Porque Te Demoras;"  
  
Llevo tiempo, con ganas de comerte  
Y solo un beso me has dado y quiero sexo  
O acaso te crees te crees, que yo soy de palo  
Y sentimientos, yo no mezclo, yo no siento  
Ni padezco, mi debilidad eres tú  
  
Dime por qué te demoras  
Misión directa sin horas  
Tal vez a otro le lloras  
Y yo esperándola hora baby  
  
Se má, que lo buscas de mi  
Llenar ese vacío que dejaron en ti  
Me ignoras me extrañas, me buscas  
Me evitas, no contestas, preguntas  
  
No sé si verte, me hace bien o mal  
Solo se que quiero convencerte  
Me siento atrapado en un reto  
Algo que para nadie es secreto  
  
No me conformo, con solo un beso y una caricia  
Quiero ver tu cuerpo, que es el que me excita ma'  
  
Ok estoy esperando la hora y el lugar  
Estoy esperando el momento preciso para actuar  
Mi dulce princesita, solo dame una llamada  
Para de tu historia ser el protagonista  
  
Estoy maquiniándolo, reflejándolo  
En una escena tú y yo devorándonos  
Cambia esa cara y olvídate de él  
Relájate y disfruta de la vista  
";1;"Llevo tiempo, con ganas de comerte
Y solo un beso me has dado y quiero sexo
O acaso te crees te crees, que yo soy de palo
Y sentimientos, yo no mezclo, yo no siento
Ni padezco, mi debilidad eres tú"
arcangel;Lo Mismo Siento Yo;"  
  
Los metalicos  
Pricesa   
Por primera vez te tengo enfrente   
Siente que te toco y  
  
Se que tu cuerpo a mi  
Me necesita, me solicita  
Lo mico siento yo  
Lo mismo siento yo (auuu)  
  
Entregate a mi  
Mi corazon palpita  
Y mi piel se exita  
Que bien me siento yo  
Que bien me siento yo (aja)  
  
Ella le mete el one, two  
El derecho y el reves  
Yo le toco con rapidez  
Hasta canto como es  
  
Dejo la etapa atras de la timidez  
A mi flow le dice yes  
Le sobra la madurez (ou)  
  
Me encantaria si conmigo te vendrias  
Mami yo te juro que te curo las heridas  
Yo hacerte sentir como te sentias  
Se que tu te acuerdas como antes te venias  
  
Como a juan luis en tu piel yo  
Quiero ser como un pez  
De tu me pongo agresivo yo quisiera ser cortez  
Hay una amiga tonces vamonos los tres  
Para darte en parte pocisiones a la vez  
Como vez si no delito se merece un diez  
Es fina y mantiene su fuerte  
Medio aqui ya tambien tiene su fuerte  
Como hace yo que cualquier cantante su pasaporte  
  
Ella es de la que se ve cripy  
viene de new york city  
Casi toda la ropa interior que tiene es de cuiti  
Tu eres mi gata ruqui  
Maulla como kitty  
Se pone un traje puti  
Ya a mover el booty  
  
Yo soy su mole conparte  
Ete es el hobre elastico  
El mono de un mecanico  
El de los brazos bionicos  
Es fantastico chula  
Te tiene haciendo arobicos (raaa)  
Se ve magnifico  
  
Ella le gusta cuchi  
A mi me gusta brandi ferragamo  
Me gusta full no le importa donde lo hagamos  
Yo siempre que la llamo  
Nos vemos y lo hacemos  
Y si la llamo al otro dia volvemos y nos matamos  
  
Ella esta inquieta  
Demasiao coqueta (se siente bien)  
Se le moja la espalda  
Y se le sube la falda (se siente bien)  
";1;"Ella es de la que se ve cripy
viene de new york city
Casi toda la ropa interior que tiene es de cuiti
Tu eres mi gata ruqui
Maulla como kitty
Se pone un traje puti
Ya a mover el booty"
anagabriel;De Aqui Para Alla;"  
  
De aquí para allá, lo he dado todo  
Yo no se si tu amor lo recibió  
Tal parece que no, no le has dado valor  
No me quieres mirar a la cara  
  
La pasión que hay en mi, nace de adentro  
Y jamas me negué a entregártela  
Tu no entiendes de amor, pues no sabes querer  
Ahora solo me queda la calma  
  
Cuando quieras sentir debes ser muy sincero al querer  
Tu no puedes pensar que es mentira mi amor  
Pues en daño me pagas igual  
  
De aquí para allá, todo va en serio  
Yo te quiero arrabiar  
Mas no crees en mi amor  
Tu imaginas que todo es un juego  
  
Ya no puedo vivir de esa manera  
Es preciso cambiar o yo me muero  
Mi amor es tan real como el cielo y el mar  
Pero a ti no te importan mis celos  
  
De aquí para allá, todo va en serio  
";0;
alejandrosanz;La Margarita Dijo No;"  
  
Bajo la lluvia y bajo el Sol,  
la margarita dijo no.  
  
Bajo la lluvia y bajo el Sol,  
bellos e inmóviles los dos  
se prometieron no crecer.  
No sé por qué, me convenció.  
Hace tanto de aquello.  
  
Bajó la Luna y le habló  
para volver, la condición  
es que hay que transformarse en ola  
y no dejar tu orilla sola,  
ni siquiera un momento.  
  
Pero les pudo la ambición  
él quiso acariciar la Luna,  
ella, ser rosa y amapola.  
Y esperando visita,  
deshojó margaritas.  
  
Pasaron los años y ella se marchitó  
deshojando fantasías  
El niño se hizo mayor.  
No han vuelto a verse en la vida  
La margarita dijo no.  
La margarita dijo no.  
  
Si bajas, Luna, escúchame y escucha tú esta vez:  
Para volver, la condición  
es que aprendamos a crecer,  
sin que caduque la pasión,  
aunque no me arrepiento.  
  
Sin que nos gane la ambición.  
Yo quise acariciar la Luna  
y ella ser rosa y amapola.  
Y, esperando visita, otra vez,  
Deshoje margaritas.  
  
Qué extraño es esto del amor,  
¿por qué preguntan a una flor?  
";0;
cafetacuba;Trpico De Cncer;"  
  
¿Como es que te vas, Salvador de la compañía?  
Si todavía hay mucho verdor.  
  
Si el progreso es nuestro oficio  
y aun queda por ahí mucho Indio  
que no sabe lo que es vivir en una ciudad  
Como la gente.  
  
Que no ves que eres un puente  
entre el salvajismo y el modernismo.  
Salvador el ingeniero,  
Salvador de la humanidad.  
  
Esta muy bien lo que tu piensas  
pero, ¿por que no,  
tu te acuerdas  
que la nuestra es una civilización muy avanzada?  
Como dice la gente.  
  
Que no ves que nuestra mente  
no debe tomar en cuenta:  
ecologistas, indigenistas,  
retrograditas, y humanistas.  
  
Hay mis ingenieros  
civiles y asociados,  
no crean que no me duele  
irme de su lado,  
pero es que yo pienso  
que ha llegado el tiempo  
de darle lugar  
a los espacios sin cemento.  
  
Por eso yo ya me voy.  
No quiero tener nada que ver  
con esa fea relación de acción,  
Construcción,  
Destrucción  
  
Ay, mis compañeros petroleros mexicanos,  
no crean que no extraño el olor a óleo puro.  
Pero es que yo pienso que nosotros los humanos,  
no necesitamos  
más hidrocarburos.  
  
Por eso yo ya me voy.  
No quiero tener nada que ver  
  
";0;
