Artista;Cancion;Lyrics;Etiqueta;Expresion
antonioaguilar;Ojitos Azules;" 
 
Ojitos azules que me han embrujado 
Al verlos tan lindos, yo me he enamorado 
Al verlos marcharse, me he desesperado 
Quisiera alcanzarlos, pero me he quedado 
 
Ojitos azules como alejandrina 
Quisiera volar como golondrina 
Cruzar por los aires, por montes y valles 
Ay, corazoncito, nomás no me falles 
 
Me quedo llorando, tú te vas muy lejos 
Porque yo soy pobre, no somos parejos 
Te mando un suspiro que llegue a tu mente 
Para que te acuerdes de mí eternamente 
";0;
anagabriel;Bscame;" 
 
Estoy pensando demasiado en ti amor  
en todo aquello que siempre me das  
en los momentos que nos olvidamos amor  
que por el mundo sigue con su andar  
no te puedo olvidar  
 
Estoy pensando como nunca en ti amor  
pues como nadie me supiste amar  
en tus detalles grandes y pequeños amor  
me acostumbrabas cada día más  
no te puedo olvidar  
 
Buscame, tu ya sabes donde estoy  
buscame, para hacer realidad  
lo que suelo soñar  
cuando tu no estas  
 
Buscame, yo no me voy a negar  
buscame, quiero volver a sentir en mi boca  
el sabor de la sal de tu mar  
 
Buscame, tu ya sabes donde estoy  
buscame, para hacer realidad. 
";0;
arcangel;Sigas Moviendo;" 
 
Te encanta el dinero encima de ti (Encima de ti, eh) 
Ninguna como tú lo mueve así, así, así (Lo mueve así, no, no) 
No, no te vayas de aquí, te vayas de aquí, baby (Te vayas de aquí) 
 
¿Cuánto quieras pa' que lo sigas moviendo? (Moviendo) 
¿Cuánto quieras pa' que lo sigas moviendo? (Yeh-eh) 
Ya está amanaciendo (Yeh-eh) 
Me estoy envolviendo, mami 
¿Cuánto quieras pa' que lo sigas moviendo? (Woh-oh) 
 
Tú y yo no somo na', pero te mueves de una forma peculiar 
Gano contigo cómodo sin película 
Me mira' mal porque contigo quieren 
Pero tú no está' pa' que te cele 
Mi mente da vuelta' de la'o a la'o 
Contigo yo estoy juquia'o 
Una como tú así no he proba'o, no he proba'o 
 
DJ, súbelo 
Conmigo está envuelta 
Y hoy gano yo 
Mírala como se suelta 
DJ, súbelo 
Conmigo está envuelta 
Y hoy gano yo, hoy gano yo, ma' 
 
Dime cuánto quiere' (Quiere', quiere') 
Pa' que lo sigas moviendo ahí 
No te desepere' (No), que el mundo se entere (Sí) 
Que yo hago lo que tú me pida' 
Menos que con lo' guardia' coopere' (Yes) 
She's on fire (Fire) 
Tiene cara que en la cama no se calla 
Yo le jalo el pelo como tremendo canalla 
Y la dejo cantando como Mariah (Let's go, uh) 
Y nos venimos a la vez (Baby), en el mismo cuarto 
Repetirlo una y otra vez, que no lo descarto, no 
 
";1;"Te encanta el dinero encima de ti (Encima de ti, eh)
Ninguna como tú lo mueve así, así, así (Lo mueve así, no, no)
No, no te vayas de aquí, te vayas de aquí, baby (Te vayas de aquí)

¿Cuánto quieras pa' que lo sigas moviendo? (Moviendo)
¿Cuánto quieras pa' que lo sigas moviendo? (Yeh-eh)
Ya está amanaciendo (Yeh-eh)
Me estoy envolviendo, mami
¿Cuánto quieras pa' que lo sigas moviendo? (Woh-oh)"
alejandrosanz;Adoro;" 
 
Adoro, la calle en que nos vimos 
La noche cuando nos conocimos 
Adoro las cosas que me dices 
Nuestros ratos felices, los adoro, vida mía 
 
Adoro, la forma en que sonríes 
Y el modo en que aveces me riñes 
Adoro, la seda de tus manos 
Los besos que nos damos, los adoro, vida mía 
 
Y me muero por tenerte junto a mí 
Cerca muy cerca de mí, no separarme de ti 
Y es que eres mi existencia mi sentir 
Eres mi luna y eres mi sol, eres mi noche de amor 
 
Adoro el brillo de tus ojos 
Lo dulce que hay en tus labios rojos 
Adoro la forma que suspiras 
Y hasta cuando caminas, yo te adoro, vida mía 
 
Y me muero por tenerte junto a mí 
Cerca, muy cerca de mí, no separarme de ti 
Y es que eres mi existencia, mi sentir 
Eres mi luna, eres mi sol, eres mi noche de amor 
 
Yo te adoro 
Vida mia 
Yo te adoro 
Yo te adoro vida mia 
Yo te adoro vida mia 
Yo te adoro toda vida 
Vida mia 
Yo te adoro 
";0;
anuelaa;69;" 
 
Cuando se duerman los nenes, 
Vamos hacer la 69, 
Pa llegarte pa tu casa, 
Con el pistolon o la nueve 
 
Fuleta la 19, 
Chingamos siempre que llueve 
El AK al lado de la cama 
Y los aviones llenos de nieve 
 
Gastando miles en el club 
Billetes de 100 y la glock (100 y la glock) 
El trabajo valen 22, 
El pana mío me lo fio (me lo fio) 
 
Viste versace y channel, 
No envidia ninguna mujer (ninguna mujer) 
Baby hoy te quiero ver 
Tu eres mía lucifer (mía lucifer) 
Ella tatuada en mi piel 
Fumando como Dr Dree 
 
Sangre en la infrared 
La libra ya la endeque 
Mi pistola yo la compré 
Baby yo me empercoce 
 
Encima me la trepe 
Por el cuello la agarre 
Enrole y me arrebate 
En 4 la martille 
Por el pelo la jale 
 
602 punto 10 5 12 tengo percoce 
Yo tengo la grasa como los domi en NY RD 
Pila de bala, le puse el chipete a la 23 brrr 
Yo no voy para ningún Tribunal que se valla pal Carajo el juez 
 
Fumando puré, yo me heche 3 redondas bebiendo aquafina 
La calle me llama, 
Pistola rifle crack y cocaína 
Ella quiere este bicho, 
Como los tecatos quieren heroína 
Tu puta me ama como todas, 
Las putas aman a messi en Argentina 
 
Tengo la retro 9, hicimos la 69 
Mis enemigos se mueren, 
Y los trabajos se mueven 
Bebiendo coerina, chingamos y fumamo Cristina 
Ella esta bebiendo champaña, 
Baby tengo tu medicina 
 
Real hasta la muerte 
ANUEL 
Mera dime jampy 
Esto es música 
Mera dime speef 
Los illuminati oite carbón 
Mera dime movie 
Mera dime casper 
";1;"Tu eres mía lucifer (mía lucifer)

Tu puta me ama como todas,
Las putas aman a messi en Argentina

"
monlaferte;Vuelve Por Favor;" 
 
Hay... si pudiera yo volverte a amar 
Si tuviera cada beso 
Que deje sobre tu cuerpo 
Te los vuelvo a dar 
Hay... estoy sintiendo que me muero 
Si no estas aquí a mi lado 
Me derrito en el pasado 
Los recuerdo de tu amor 
 
Cariño mio vuelve por favor 
Que yo no se vivir sin ti 
Voy por las noches como un naufrago 
Quisiera amarte hasta morir 
 
Cariño mio vuelve por favor 
Que soy barquito de papel 
Sin ti este mar se hace mas grande 
Y mas cobarde mi fe 
 
Yo no se, como se vive sin tu amor 
Me muero de sed... y tu teniendo tanta agua 
Oh 
Yo no se... que nada calma mi dolor 
Y esta angustia que me mata 
Remembranzas que me atrapan 
Estoy perdiendo la razón 
 
Hay buen Pedro vuelve por favor 
Que soy barquito de papel 
Sin ti este mar se hace tan grande 
Y tan cobarde mi fe 
";0;
arcangel;Date Cuenta;" 
 
Date cuenta, ma' 
Que a ese tipo se le cae to' si de al lao', tú te le va' 
Me imagino cuando abra los ojo' y no te vea 
Se meta a la' rede' a chequear y sea conmigo la foto que tú postea' 
Pa' que vea como te debe de tratar 
 
Date cuenta, ma' 
Que nadie es perfecto y existen dialectos diferentes (ah) 
Que el mundo e' redondo, no plano 
Y hay diferente' razas y mucha gente 
En cambio tú, (mami), tú eres de Marte (yes) 
Y yo de Júpiter, un caso aparte (ajá) 
Que sufran Picasso y Da Vinci 
Y con tu cuerpo sobrepasaste el arte 
Y no sé por qué él no te valora (no) 
No te abraza por la noche, no te acalora 
Sal de eso si con el tiempo nada mejora 
Para mí tú eres agua bendita, mi cantimplora 
Eres loca y demente y eso me enamora 
El foco principal de mi locomotora 
Suéltalo si con el tiempo no mejora 
Y escápate conmigo, ven, te invito a Bora Bora 
 
Y yo a ti te lo he dicho, mami chula, un par de vece' 
Que lo que tú te merece' e' un tipo fino como yo 
Pero como yo ya no aparece 
Mientra' tanto sal de ese en lo que aparezco yo, yo' 
Yo sé que a diario tú lucha' porque él no te escucha 
Por eso tú a mí me llama', porque yo te entiendo 
Por eso lloro cada ve' que tú llora' 
Porque yo sí te quiero y me duele cuando 'tá' sufriendo 
 
Si yo fuera él, te diera banda y te soltara 
Por aquí a mi ententer las cosas le van a salir caras (uuuh-uuuh) 
 
Austin, baby 
Y tenemos la luz 
(Oh Light GM, oh Light GM) 
It's Light GM, jaja 
Flow Factory 
Ah-ah... 
";0;
carlosvives;Simplemente Un Corazn;" 
 
Con la fuerza de la ola,  
de un huracán,  
alejaste de mis días,  
la soledad.  
 
Ya no quedan más defensas  
que derrumbar  
Hazte dueño de mi vida  
Sin vacilar 
Sin pensar.  
 
Sin un ancla en mis pies,  
tu podrás  
tomar el timón,  
sin temor,  
con el Norte hacia el sol,  
cruzaremos,  
un mar de pasión 
 
Simplemente un solo corazón,  
un amor que despierta un solo sentir,  
el deseo siempre a flor de piel,  
es un fuego que enciendes dentro de mí. 
 
Simplemente un solo corazón,  
un amor que despierta un solo sentir,  
el deseo siempre a flor de piel,  
y la paz que dejas dentro de mí. 
 
Robaremos de la noche,  
la quietud  
Viviremos cada instante  
a plenitud.  
Te regalaré una rosa  
de mi jardín.  
Me tendrás en cuerpo y alma  
hasta morir. 
";0;
ozuna;Mi Nina;" 
 
6 de la mañana y la angustia espera 
Y desespera 
Mi niña tan bella 
Siempre será mía 
Aunque sea una mujer 
Siempre me preocuparé 
 
Tan bella 
Nunca imaginé tener a alguien así, no 
Tan bella 
Yo la vi nacer, también la vi crecer, no 
Tan bella 
Nunca imaginé tener a alguien así, no 
Tan bella 
Salió a su madre 
 
Yo no la voy a juzgar 
Si la música que escucha se la enseñó papá, yeh 
Yo no la voy a juzgar 
Si la música yo la bailaba con su mamá, yeh 
Y ahí fue que nos conocimos 
Por eso a Dios yo le pido 
Que me la deje crecer 
Y se enamore también que por ahí anda Cupido 
 
Es la princesa de papá 
La nena ya creció y el novio tengo que aceptarle 
O por ahí se va 
Pues tengo la seguridad 
Que le enseñé modales 
Y con respeto a la vida se lucha y puede superar 
También lo único que sé 
Que mi amor es sincero y real 
Y nunca te voy a fallar, aquí vo'a estar 
Ahora te toca elegir 
Ya sabes cual es el bien y el mal 
Siempre te voy a amar, Sofi 
 
Yeh, eh 
Ozuna 
El negrito ojos claro 
(Los Legendarios) 
Dímelo Gotay 
(High Music, High Flow) 
Charlie 
 
Desde el día en que naciste 
Yo sabía que eras una niña especial 
Siempre aquí o en otro mundo yo te voy a cuidar 
";0;
alejandrofernandez;Estabas Ahi;" 
 
Estabas ahí 
Por donde tantas veces he pasado 
Cuando te vi sentí que dios me dio la mano 
Eres tan simplemente bella 
Eres mi luna, mi doncella 
 
Estabas ahí 
Cuando la vida se me estaba derrumbando 
Y tu mirada acariciándome los labios 
Fue derribando las fronteras de mi corazón 
 
No te alejes, no te vayas, 
Deja que el destino 
 
Nos abrace el alma y nos quite el miedo 
Como un par de niños bajo un aguacero 
Pero no te vayas porque yo me muero 
Eres mi luna en altamar, mi primavera mi verdad 
Te quiero 
 
Y sigues aquí 
En un espacio de mi alma te has quedado 
Desenredando los fantasmas del pasado 
Acariciando mis latidos, mi desolación 
 
Eres mi luna en altamar 
Mi primavera, mi verdad 
 
Te quiero 
";0;
arcangel;Batman en Can Am;" 
 
Shhhh! 
To's Callao sin dar detalle 
Mi nombre pesa no hay manera de que falle 
No busquen que contra el piso los restralle 
Le tumbe la movie esa que tienen de que son calle 
 
Hoy salimos en can-am 
Pa la carretera van 
Una caravana'e rifle y todos van en una Van 
Aquí to's los palos llegan directo de afghanistan 
Gracias a nosotros se quedo sin capa Superman 
Hoy salimos en can-am 
Pa la carretera van 
Una caravana'e rifle y todos van en una Van 
Aquí to's los palos llegan directo de afghanistan 
Gracias a nosotros se quedo sin capa Superman 
 
Aquellas moñas son exóticas 
La' prenda' son exóticas 
La corta negro mate, le llamo: la perra gótica 
La funda no cabe en la wallet que cosa extrambotica 
La cuenta se me frisa por tanto que se deposita 
No te afanes que yo hando con to's mis manes 
Tenemos to's los palos encima parecemos talibanes 
Vamos a convertirte en comida pa' los caimanes 
Tengo un corillo de nazi ninguno son alemanes nigga! 
Tu puta este bicho se pasa mamandolo 
Yo paresco un piloto encima de ella aterrizándolo 
Pasa el tiempo yo sigo aquí educándolos 
Estas putas musicales que el culo se pasan dándolo 
Desde que salgo el escandalo estoy formándolo 
Mi barrio de Santurce por siempre representándolo 
 
Si no es can-am salimos en el aventador 
Yo luzco bien no me hace falta vestir de diseñador 
Donde quiera que llego se siente el calor 
El palo alumbra y cuando apunta pide bendición el sol 
Tengo este juego a mi favor 
Cabrones háganme el favor 
Siempre activo en la defensa aqui ni Messi mete un gol 
Mucho mas que panadol va hacer falta pa tu dolor 
Mis hijos son ricos de cuna papa fue su power bowl 
 
";1;"
Tu puta este bicho se pasa mamandolo
Yo paresco un piloto encima de ella aterrizándolo

Estas putas musicales que el culo se pasan dándolo
"
arcangel;Tacos Altos;" 
 
Uno, dos, tres, cuatro 
Ponte la ropa 
También los zapatos 
Píntate la boca roja 
Luego ponte el maquillaje 
Que tú y yo nos vemos en un rato 
 
Ay, ponte los tacos altos 
Baila por todo lo alto 
Haz que me de un infarto 
Tú tienes ese culo que me gusta a mí 
Yo tengo el efectivo que te mueve a ti 
 
Yo siempre tiro par de paca pero si es a ti te tiro una caleta 
Guarda un par de cosas y empaca que te vas conmigo a viajar to' el planeta 
Tú baila y el dinero llueve 
En el tubo de Lunes a Jueves 
Es que a mi me tiene loco como tú me miras y como lo mueve 
Uno, dos, tres, cuatro 
Píntate la boca y ponte los tacos 
Baby no te hagas 
Si tú sabes muy bien que yo soy un bellaco 
Yo tengo lo que estas buscando 
Y yo estoy buscando to' lo que tú tienes 
Trepate encima de mí, muevelo pa' mí que eso te conviene 
 
Y sólo dime si quieres 
Que te tire los chavos o que mejor te los dé 
Mueve eso baby que te conviene 
Y trépate encima de mí, to' eso me toca a mí 
 
Ven sedúceme y bien rico bailame 
Encima trépateme 
Pónteme fresca, sexy y bellaca 
Que lo que quiero es tirarte la paca 
Échate pa' aca, podélame con la ropa interior y las tacas 
 
Y dime cuanto es que tú quieres 
Pa' que me haga un privado sólo bien rico pa' mí 
Pa'l carajo el amor y el interés 
Sigue bailando mami que tengo lo que quieres 
 
Mucho billete 
Ese culo muévelo 
En el tubo báilame 
Baby gánatelo 
Ven sedúceme 
Y bien rico báilame 
Encima trépateme 
 
Yo te lo wa' meter de to'a las formas 
'Esnúdate y déjate puesta na' ma' pa' la plataforma 
De día ella es una pero de noche se transforma 
Cuando se maquilla y se unta el lipstick 
Yo siempre la tengo en play como 50 
Mera baby bailame como las putas en G-string 
 
Tu estabas loca que yo te lo incruste 
No me importa si ese culote es de natural o es de embute 
Cuando te lo meta te llevo pa'l mall y te compro to' lo que te guste 
Encima yo tengo 20 mil pesos en efectivo 
Yo gasto y no me importa cuanto es el recibo 
Si huele rico me voy a acapella sin preservativo 
 
Baby sin ropa yo te quiero ver bailar 
Yo te quiero devorar desde hace tiempo 
En tus ojos veo que tú también quieres probar 
No trates de disimular, no pierdas más tiempo 
 
Oye nosotros no fallamos nunca (Javish) 
Nosotros somos de oro cabrones 
Santana El Nene de Oro 
Alex Gargolas (Mera, dímelo Alex Gargo) 
";1;"Tú tienes ese culo que me gusta a mí
Yo tengo el efectivo que te mueve a ti

Tú baila y el dinero llueve
En el tubo de Lunes a Jueves
Es que a mi me tiene loco como tú me miras y como lo mueve

Y yo estoy buscando to' lo que tú tienes
Trepate encima de mí, muevelo pa' mí que eso te conviene

Mucho billete
Ese culo muévelo
En el tubo báilame
Baby gánatelo
Ven sedúceme
Y bien rico báilame
Encima trépateme

Mera baby bailame como las putas en G-string

"
maluma;Cielo A Un Diablo;" 
 
Bebé, tú me conoces 
Sabes que nunca he sido de una sola mujer 
No busques que el corazón te lo destroce 
De la forma en que me quieres no me puedes querer 
 
Yo te hablé claro, te lo había dicho 
Tu cuerpo para mí es solo un capricho 
Y aunque sé que eres buena mujer no lo tomes a mal 
 
Bebé, le estás pidiendo el cielo a un diablo 
Me estás pidiendo sol cuando hace frío 
El amor para mí no es necesario 
Mejor de tu camino me desvío, me desvío, yeah 
 
Me entregué sin medir al amor y perdí hasta el alma 
Hoy tu sufrimiento es por mis traumas 
Aunque en tu cuerpo desnudo yo encuentro calma 
Cuando te coma otro ese es mi karma 
 
Si te enamoras de mi, no tiene sentido 
Si me alejo, yo lo haré por ti 
No sé quién fue el pendejo que encontró a cupido 
Esos cuentos ya no se venden por aquí 
Vámonos pal party, mami 
Una botellita 'e Hennessy y 
No te enamores más, sigamo' así 
Báilame que esta la hice pa' ti, mami 
 
Si quieres algo enserio, porfa evítalo 
Si es solo pa' sexo, solicítalo 
Llama a Papi Juancho y medítalo 
Saber que si es pa' eso solicítalo 
Pero no promete otro capítulo 
 
Si te enamoras de mí no tiene sentido 
Si me alejo, yo lo haré por ti 
No sé quién fue el pendejo que encontró a cupido 
Esos cuentos ya no se venden por aquí 
 
Tú sabes mamacita que 
Yo te hablé claro, te lo había dicho 
Tu cuerpo para mí es solo un capricho 
Y aunque sé que eres buena mujer no lo tomes a mal 
 
Mamacita, esto es lo que soy y esto es lo que hay, Papi Juancho 
 
305, bebé, aprieta 
I love you, baby 
I know you miss me 
";1;"Yo te hablé claro, te lo había dicho
Tu cuerpo para mí es solo un capricho
Y aunque sé que eres buena mujer no lo tomes a mal

"
juangabriel;Olvidmonos;" 
 
Olvídate de mí, 
De aquel amor que fue, 
Tuyo, 
Que yo también me olvidare, 
De aquel cariño que fue, 
Mío. 
 
Aunque todo termino, 
Guardaré en mi corazón, 
Las caricias y los besos, 
Que nos dimos. 
 
Y trata de olvidar, 
Que una vez nos conocimos, 
Aunque tanto nos quisimos, 
Nos tenemos que olvidar. 
 
Y sin mirar atrás, 
Sin pensar en el recuerdo, 
Yo te juro que no vuelvo, 
Aunque tenga que llorar. 
 
Olvídame, 
Olvídame, 
Olvídame. 
";0;
arcangel;Sentimiento;" 
 
Uuuuuuu 
Ohohhoh 
Uuuuuuuu 
 
Todos miran su belleza 
y todos admiran su cuerpo, si... 
pero ninguno sabe... 
 
que ella solo quiere que la miren dentro 
donde hay sentimiento 
 
y 
Todos miran su belleza (Yes) 
y todos admiran su cuerpo, si... 
pero ninguno sabe... 
 
que ella solo quiere que la miren dentro 
donde hay sentimiento 
 
mas que money money quiere 
sentimiento 
mas que discoteca quiere 
sentimiento 
mas que una aventura quiere 
sentimiento 
mas que labia monga quiere 
sentimiento 
 
Y que la lleven de la mano en los peores tiempos 
y que le entregen toda la vida en el beso mas intenso 
y que la lleven al altar, y que el amor sea el fundamentoo.. 
ay el fundamento oh oh... 
 
y cuando abras la boca a ver que te inventas 
que no solamente salga olor a dulce menta 
cuenta de todas las pasiones que sientas 
no mientas, si por mentir el corazon te revienta 
 
es tan dificil encontrar quien sea seguro y te jure 
un amor que para siempre dure 
la chica tiene para llevarte a las nubes 
pero ella quiere enchule 
 
Y que le tiendan a sus pasos un jardin de flores 
que le regalen un perfume de un millon de olores 
y que la llenen de ternura, de poemas y cancioneees 
llenas de emocionees. eh eh 
 
para sacarle a el amor que carro importa 
si el que da cariño vale mas que la tolta 
valen mas la pena los que se comportan 
que los que no salen relaciones cortas... 
 
ya le aburre que le digan las mismas cosas 
que la llenen de piropos que le digan que es hermosa 
exceso de palabras, la pone vanidosa 
un poco de ternura cariñosa... 
 
Todos miran su belleza 
sentimiento sentimiento 
pero ninguno sabe... 
sentiemiento 
pero ninguno sabe... 
sentimiento. 
";0;
juangabriel;Adis Al Amigo;" 
 
Adios, le estoy diciendo a mi mejor amigo 
Adios, tu ten en cuenta que la suerte esta contigo 
Adios que la salud abunde en tu camino 
Que al final encuentres la dicha 
La paz y la alegria 
Y el amor que siempre has merecido 
 
Adios y que realices todo lo que tu has soñado 
Adios, que siempre el triunfo lo encuentres 
En tus manos 
Adios y muchas gracias por la amistad 
Que tu me has dado 
 
En mi cuenta con este respeto 
Esta amistad que yo te ofresco es sincera 
Aqui esta mi mano. 
 
El que tiene un amigo, tiene un tesoro 
";0;
sodastereo;Final Caja Negra;"

Y sin embargo sabes
Me mantendrás distante
Y sin embargo
Aun puedes abrirla

Luces como preparado
Para una muerte elegante
Y sin embargo, lates
Aun puedes abrirla

Y sin embargo vuelves
De lo contrario vienes
Y sin embargo
Aun puedes abrirla

Agotas lo imprevisible
Entre tus blindados brazos
Y sin embargo
Hay rastros
Aun puedes abrirla

Y sin embargo esperas
Un laberinto sin sorpresas
Y sin embargo
Aun puedes abrir tu caja negra
";0;
anagabriel;Ya Se Va La Embarcacion;"

Ya se va la emabarcación 
ya se va por vía ligera 
ya se va, ya se la llevan 
a la dueña de mi amor 

No lloro porque te vas 
ni lloro porqué te alejas 
lloro ¡ay si! porque me dejas 
herido del corazón 
";0;
cafetacuba;El Borrego;"

Soy anarquista, soy neonazista.
Soy un esquinjed y soy ecologista.
Soy peronista, soy terrosrista, capitalista
Y también soy pacifista.

Soy activista, sindicalista, soy agresivo, y muy alternativo.
Soy deportista, del rotarac, politeísta
Y también soy buen cristiano.

Y en las tocadas la neta es el slam
Pero en mi casa si le meto al tropical,

Me gusta el heavymetal, me gusta el hardcore.
Me gusta Patric Miller y también me gusta el grunge.
Me gusta la maldita me gusta la lupita
Y escucho a los magneto cuando esta mi noviecita

Me gusta andar de negro con los labios pintados.
Pero guapo en la oficina siempre and bien trajeado.
Me gusta aventar piedras, me gusta recojerlas,
Me gusta pintar bardas y despues ir a lavarlas.
";0;
anuelaa;Recuerdos;"

Tu ojos verdes ma
Me tienen loco ma
(Hey)
Tu amor me trae muchos recuerdos
De cuando tenia el corazón frío
Como el invierno
Pero tu fuiste mi infierno
Y a veces me arrepiento hasta de conocerlo
Pero como me explico que tu eres una loca
Y que no soy el unico que besó tu boca (Wao Wao)
Supuestamente mujeres por na son pocas
Pero la cruda verdad es que ayá abajo todo te toca.

Mujeres van y vienen
Llegan y se van
A mi 5 horas me tienen
Ya yo se lo que dan
Yo se que tu quieres hacerlo
Y aunque no me conviene voy a ponertelo
Loca, Loca (La fuckin cruda verdad
Loca, Loca (Esta entrgada a la maldad)
Loca, Loca (Mala no tiene corazón)
En nombre de todas las locas
Yo prendo un blond

Todo sucedio, por la diabla haber sido tan mala
Se fue a fuck como un Overol
Cuando ve al enemigo saca la 40 y el gatillo jala (hey)
Y en el pecho tiene la bala
Mi conciencia me dice Ema tranquilo
Dios esta contigo inhala y exhala
Tu no entiendes que ya a nada te puedes aferrar
Y que la persona mas cercana en la vida se te puede virar
No No No puedo amar vete pal' carajo y si esta arrocha
Te pudes suicidar como un pendejo no voy a quedar no no no

Usa tu imaginación
Ema piensa que te amo
Mañana has lo que quieras
Tu sabes que no reclamo (au)
Tas' arrebata'o
Me encanta con las NIKE puestas
Se quita la ropa y se acuesta
Encima de una nube (hey hey)
Nelly rompe el bajo
Ella callada se moja mientras la trabajo
Yo me mojo hasta que toque
Y se moja hasta que se acabe
Desde la torre de control
Aunque me boten la llave
Es cuando tu digas mami
Asi es que baja el Ego
Te voy a decir como te diria Tego
Esta canción no es de amor
Es como matarte (jeje)
Tu sabes como nadie va castigarte
Vuela peligrosa na de romantica
Es que te tocas te usa como la plastica
No le hace caso a nadie
Siempre rompe la Ruli
Yo soy su benbitico
Como Rose o Bull mami

(Hey)
Anuel
Esto es...
Desde la torre de control
No hay amor (jeje) ni tampoco el rencor
Como me siento mai
Me siento invicto (jeje)
Se siente bien
El que te dijo que el amor existe aqui en el mundo te mintio (jeje)
Porque el amor es de Dios
";1;"Pero como me explico que tu eres una loca

Mujeres van y vienen
Llegan y se van
A mi 5 horas me tienen
Ya yo se lo que dan
Yo se que tu quieres hacerlo
Y aunque no me conviene voy a ponertelo
Loca, Loca (La fuckin cruda verdad
Loca, Loca (Esta entrgada a la maldad)
Loca, Loca (Mala no tiene corazón)
En nombre de todas las locas
Yo prendo un blond

"
carlosvives;Rosa;"

De todas las flores
la rosa es la mas hermosa
y por eso yo te canto
a ti linda Rosa
a ti linda Rosa

Rosa que linda eres
Rosa que linda eres tu

Que linda eres Rosa
Rosa maravillosa

Del jardin de las mujeres
Rosa bella tu eres
";0;
monlaferte;Dos Locos;"

El tiempo no ha logrado
Que te olvide
No ha borrado las huellas
De tu amor

Todavía siento el sabor
De tus besos en mi boca
Todavía siento tus manos
Acariciándome la piel

Y yo no quiero seguir así
Estando con ella
Y pensando en ti
A mí me está pasando igual
No dejo de pensar en ti

Cada día me levanto
Contigo en la cabeza
Lo llamo por tu nombre
Y yo no quiero seguir así
Estando con ella
Y pensando en ti

Qué tontos, qué locos
Somos tú y yo
Estando con otro
Y amándonos

A mí me está pasando igual
No dejo de pensar en ti
Cada día me levanto
Contigo en la cabeza
Cierro los ojos
Y pienso en ti

Todavía no me acostumbro
Ya te acecho por tus manos
Me sabe mal
No es como el tuyo
Y yo cuando siento sus caricias
Cierro los ojos y pienso en ti

";0;
alejandrofernandez;Hasta En Mis Huesos;"

Estoy en un rincón del tiempo
Atado a tu recuerdo
Y sin poder vivir
Y tú, negándome tus besos
Metida hasta en mis huesos
Y sin querer salir

Y sigo aquí
Llorando solitario en esta pieza
Bebiéndome de golpe la tristeza
Muriendo poco a poco sin tu amor
Vuelve aquí
Yo estando en tu lugar regresaría
A contemplar de cerca la agonía
De quien por ti no tuvo compasión

Si bien
Me lo dijiste un día
Que yo sin ti sería
Un barco sin timón

Y sigo aquí
Llorando solitario en esta pieza
Bebiéndome de golpe la tristeza
Muriendo poco a poco sin tu amor
Vuelve aquí
Yo estando en tu lugar regresaría
A contemplar de cerca la agonía
De quien por ti no tuvo compasión
";0;
sodastereo;Zoom;"

Quiero un zoom anatómico
quiero el fin del secreto
Entre tus labios de plata
y mi acero inolvidable
quiero un loop
protagónico

Pruébame y verás
que todos somos adictos
a estos juegos de artificio
Voy a hacerte
un macro porno intenso
Lo que seduce
nunca suele estar
donde se piensa

Zoom

Por aquí ya estuve
te largas a reír
En tus comisuras
dame un zoom

Luz, cámara y acción
";0;
monlaferte;La Democracia;"

Tú no tienes la culpa de que la plata a nadie le alcanza
Tú no tienes la culpa de la violencia, de la matanza
Así el mundo nos recibió, con mucha balas, poca esperanza
Quiero que todo sea mejor, que se equilibre esa balanza

Tú no tienes la culpa de que a los pobres los lleven preso
Tú no tienes la culpa que quemen bosque por el progreso
Y los de arriba sacan ventaja y la justicia que sube y baja
Nos tienen siempre la soga al cuello la vida al filo de una navaja

Que alguien me explique lo que pasó
Con la democracia, la democracia

Me confundí o alguien me mintió
La democracia, la democracia

Pa dónde fue, quién se la robó
La democracia, la democracia

Vamos a tomarnos unos vinitos
La democracia, la democracia

Tú no tiene la culpa de que persigan a los migrantes
Tú no tienes la culpa de la masacre a los estudiante'
De las promesas y las banderas los caballeros se llenan la panza
Aquí te van unas melodías y algunas rimas pa' la venganza

Pa' dónde fue, quién se la robó
La democracia, la democracia

Hagan un trencito
Hagan un trencito
De este lao y del otro bailando la cumbia se ven má' bonito
";0;
